emoji,name,unit,kcal,p,f,c,categories
🍚,ごはん,50g,78,1.3,0.2,18.5,staple|fav
🍚,ごはん(100g),100g,156,2.5,0.3,37.1,staple
🍚,ごはん(150g),150g,234,3.8,0.5,55.7,staple
🍞,食パン,1枚(60g),158,5.6,2.6,28,staple
🥐,ロールパン,1個(30g),95,3,3.4,14.6,staple
🍙,おにぎり,1個,180,3,0.5,40,staple|fav
🍝,パスタ(乾),100g,347,13,1.9,69,staple
🍜,うどん(ゆで),1玉(200g),190,5.2,0.8,41.6,staple
🍜,そば(ゆで),1玉(170g),221,8.2,1.7,43.5,staple
🍜,そうめん(ゆで),1束(200g),228,7,0.8,49.6,staple
🍜,中華麺(ゆで),1玉(230g),306,11.3,1.4,63,staple
🍚,玄米ごはん,150g,228,4.2,1.5,53.4,staple
🥣,オートミール,30g,105,4.1,1.7,20.7,staple
🍘,餅,1個(50g),112,2.1,0.3,25.2,staple
🍚,お粥,1杯(250g),89,1.6,0.2,21.3,staple
🍗,鶏むね肉(皮なし),100g,108,22.3,1.5,0,meat|protein
🍗,鶏むね肉(皮あり),100g,191,19.5,11.6,0,meat|protein
🍗,鶏もも肉(皮なし),100g,116,18.8,3.9,0,meat|protein
🍗,鶏もも肉(皮あり),100g,200,16.2,14,0,meat|protein
🍗,ささみ,1本(40g),42,9.2,0.3,0,meat|protein|fav
🍗,チキンバー,1本,65,13,1.2,0,meat|protein|fav
🐔,手羽先,1本(40g),84,7.1,5.8,0,meat|protein
🐔,つくね,1個(30g),62,4.5,3.6,2.4,meat|protein
🥩,豚バラ肉,100g,386,14.2,34.6,0.1,meat|protein
🥩,豚ロース,100g,263,19.3,19.2,0.2,meat|protein
🥩,豚もも肉,100g,183,20.5,10.2,0.2,meat|protein
🐷,生姜焼き(豚),100g,210,18,13,5,meat|protein
🥩,牛肉(もも赤身),100g,182,21.2,9.6,0.5,meat|protein
🥩,牛肉(バラ),100g,371,14.4,32.9,0.2,meat|protein
🥩,牛肉(肩ロース),100g,240,17.9,17.4,0.1,meat|protein
🍖,ひき肉(鶏),100g,166,17.5,8.3,0,meat|protein
🍖,ひき肉(豚),100g,221,18.6,15.1,0,meat|protein
🍖,ひき肉(合い挽き),100g,259,17.3,19.7,0.5,meat|protein
🥓,ベーコン,1枚(17g),69,2.2,6.6,0.1,meat|protein
🥓,ハム(ロース),1枚(10g),20,1.7,1.4,0.1,meat|protein
🌭,ウインナー,1本(20g),64,2.6,5.7,0.6,meat|protein
🐟,銀鮭,1切(80g),150,16,10,0.2,fish|protein|fav
🐡,ブリ,1切(80g),178,17,14,0.2,fish|protein
🐟,マグロ(赤身),刺身5切(50g),63,13.2,0.7,0.1,fish|protein
🐟,サバ,1切(80g),196,16.4,14.2,0.2,fish|protein
🐟,アジ(開き),1枚(70g),113,14.1,5.6,0.1,fish|protein
🐟,サンマ,1尾(100g),297,18.5,23.6,0.1,fish|protein
🦑,イカ(刺身),50g,44,9,0.6,0.1,fish|protein
🦐,エビ(むき),50g,49,10.9,0.3,0.1,fish|protein
🐙,タコ,50g,38,8.1,0.3,0.1,fish|protein
🐟,ツナ缶(水煮),1缶(70g),50,11.2,0.5,0.1,fish|protein|fav
🐟,ツナ缶(油漬),1缶(70g),186,12.5,14.7,0.1,fish|protein
🐟,サバ缶(水煮),1缶(190g),304,39.7,14.4,0.2,fish|protein
🐟,しらす,大さじ2(10g),21,4,0.3,0,fish|protein
🐟,焼き魚(鮭),1切,130,20,5.5,0.1,fish|protein
🥚,たまご,1個,91,7,7,0.2,egg_soy|protein|fav
🥚,ゆで卵,1個,91,7,7,0.2,egg_soy|protein
🥚,目玉焼き,1個,120,7.4,9.3,0.2,egg_soy|protein
🥚,卵焼き,1切(30g),46,3.2,3.1,1.5,egg_soy|protein
🫘,納豆,1パック,80,7.4,4,2.5,egg_soy|protein|fav
🧈,豆腐(絹ごし),150g,84,7.4,4.5,2.9,egg_soy|protein
🧈,豆腐(木綿),150g,108,9.9,6.3,2.4,egg_soy|protein
🫘,厚揚げ,1/2枚(75g),113,7.9,8.3,0.6,egg_soy|protein
🫘,枝豆,50g(さや付100g),67,5.8,3.1,4.4,egg_soy|protein|veg
💪,ソイプロテイン,1杯(20g),75,16,0.5,1,egg_soy|protein|fav
🥤,ホエイプロテイン,1杯(25g),100,21,1,2,egg_soy|protein
🥦,ブロッコリー,50g,17,2.2,0.3,2.6,veg|fav
🍄,えのき,50g,11,1.4,0.1,3.7,veg
🌱,もやし,100g,14,1.7,0.1,2.6,veg
🥬,めかぶ,1パック,7,0.5,0.2,1.4,veg|fav
🥬,ほうれん草,50g(ゆで),13,1.4,0.2,1.6,veg
🍅,トマト,1個(150g),29,1.1,0.2,7,veg
🥒,きゅうり,1本(100g),14,1,0.1,3,veg
🥬,レタス,50g,6,0.3,0.1,1.4,veg
🥬,キャベツ,50g,12,0.7,0.1,2.6,veg
🥕,にんじん,50g,18,0.3,0.1,4.5,veg
🧅,たまねぎ,50g,19,0.5,0.1,4.4,veg
🥗,サラダ,1皿,30,1,0.2,6,veg|fav
🥬,大根,100g,18,0.5,0.1,4.1,veg
🍆,なす,1本(80g),18,0.9,0.1,3.7,veg
🫑,ピーマン,1個(30g),6,0.3,0.1,1.5,veg
🥑,アボカド,1/2個(70g),131,1.8,13,4.3,veg
🎃,かぼちゃ,50g,46,1,0.2,10.5,veg
🍠,さつまいも,100g,134,1.2,0.2,31.5,veg|staple
🥔,じゃがいも,1個(100g),76,1.6,0.1,17.6,veg|staple
🌽,とうもろこし,1/2本(80g),74,2.9,1.4,13.8,veg
🍄,しめじ,50g,9,1.4,0.3,2.4,veg
🍄,まいたけ,50g,8,1,0.3,2.4,veg
🧄,にんにく,1片(5g),7,0.3,0,1.4,veg
🫚,しょうが,1片(10g),3,0.1,0,0.7,veg
🌶,キムチ,50g,23,1.4,0.2,4.5,veg
🍌,バナナ,1本,86,1,0.2,22,fruit
🍎,りんご,1/2個,57,0.2,0.1,15,fruit
🍊,みかん,1個(80g),37,0.6,0.1,9.4,fruit
🥝,キウイ,1個(85g),45,0.9,0.1,11.5,fruit
🍓,いちご,5粒(75g),26,0.7,0.1,6.4,fruit
🍇,ぶどう,10粒(60g),35,0.2,0.1,9.2,fruit
🍈,グレープフルーツ,1/2個(100g),38,0.9,0.1,9.6,fruit
🍍,パイナップル,100g,51,0.6,0.1,13.4,fruit
🍑,もも,1個(170g),68,1,0.2,17,fruit
🍅,トマトジュース,200ml,39,1.8,0,8.7,drink|fav
🥛,牛乳,200ml,138,7,8,10,drink
☕,コーヒー(ブラック),1杯,6,0.3,0,1,drink
🧃,ジュース(100%果汁),200ml,90,0,0,23,drink
🧋,無調整豆乳,200ml,95,8.3,4.5,3.3,drink|fav
🍵,緑茶,200ml,4,0.4,0,0.4,drink
🥛,ヨーグルト(無糖),100g,62,3.6,3,4.9,drink|dairy
🥛,ヨーグルト(加糖),100g,67,4.3,0.2,11.9,drink|dairy
🍺,ビール,350ml,140,1.1,0,10.9,drink
🍶,日本酒,1合(180ml),185,0.7,0,6.5,drink
🍷,ワイン(赤),グラス(125ml),91,0.3,0,1.9,drink
🥃,ハイボール,1杯,70,0,0,0,drink
🧀,チーズ(プロセス),1枚(18g),61,4.1,4.7,0.2,dairy
🧀,カッテージチーズ,50g,53,6.7,2.3,1,dairy|protein
🧈,バター,10g,75,0.1,8.3,0,dairy
🥣,味噌汁,1杯,30,2,0.8,3.5,soup|fav
🍲,キムチ鍋の元,1人前,23,1,1,2.4,soup
🫗,ポン酢,大さじ1,15,1,0,2,soup
🍲,豚汁,1杯,120,6,5,10,soup
🥘,けんちん汁,1杯,80,3,3,8,soup
🍲,コンソメスープ,1杯,20,0.5,0.3,3.5,soup
🍲,コーンスープ,1杯,86,2,3.5,11,soup
🥤,プロテインバー,1本,180,15,6,18,snack|protein
🍫,チョコレート,1枚(50g),279,3.5,17.4,27.8,snack
🍘,せんべい,2枚(30g),113,2.3,0.3,25.3,snack
🍪,クッキー,2枚(20g),96,1.2,4.8,12.3,snack
🍰,ショートケーキ,1切,350,5,20,38,snack
🍨,アイスクリーム,1個(120ml),224,4,12.6,23.2,snack
🍩,ドーナツ,1個,280,4.5,16,30,snack
